epoch,train_accuracy,train_loss,valid_accuracy,valid_loss
340,90.7558222603229,"tensor(0.2252, device='cuda:0')",84.8,"tensor(0.3492, device='cuda:0')"
341,90.87012430347193,"tensor(0.2261, device='cuda:0')",85.06666666666666,"tensor(0.3447, device='cuda:0')"
342,90.87726818116873,"tensor(0.2252, device='cuda:0')",85.01666666666667,"tensor(0.3456, device='cuda:0')"
343,91.09872838976997,"tensor(0.2247, device='cuda:0')",85.2,"tensor(0.3462, device='cuda:0')"
344,90.84154879268466,"tensor(0.2267, device='cuda:0')",84.76666666666667,"tensor(0.3460, device='cuda:0')"
345,90.9629947135305,"tensor(0.2236, device='cuda:0')",85.01666666666667,"tensor(0.3455, device='cuda:0')"
346,90.97728246892413,"tensor(0.2257, device='cuda:0')",85.33333333333334,"tensor(0.3441, device='cuda:0')"
347,91.04872124589227,"tensor(0.2231, device='cuda:0')",84.93333333333334,"tensor(0.3471, device='cuda:0')"
348,91.05586512358909,"tensor(0.2228, device='cuda:0')",85.5,"tensor(0.3400, device='cuda:0')"
349,90.9558508358337,"tensor(0.2232, device='cuda:0')",85.06666666666666,"tensor(0.3425, device='cuda:0')"
350,90.84154879268466,"tensor(0.2240, device='cuda:0')",85.45,"tensor(0.3440, device='cuda:0')"
351,90.905843691956,"tensor(0.2226, device='cuda:0')",85.0,"tensor(0.3439, device='cuda:0')"
352,91.02728961280184,"tensor(0.2218, device='cuda:0')",85.01666666666667,"tensor(0.3435, device='cuda:0')"
353,91.27732533219032,"tensor(0.2198, device='cuda:0')",85.26666666666667,"tensor(0.3465, device='cuda:0')"
354,91.14159165595085,"tensor(0.2203, device='cuda:0')",84.93333333333334,"tensor(0.3438, device='cuda:0')"
355,91.07015287898271,"tensor(0.2219, device='cuda:0')",85.01666666666667,"tensor(0.3440, device='cuda:0')"
356,90.94156308044006,"tensor(0.2250, device='cuda:0')",84.88333333333333,"tensor(0.3479, device='cuda:0')"
357,91.23446206600943,"tensor(0.2201, device='cuda:0')",85.25,"tensor(0.3457, device='cuda:0')"
358,91.19159879982854,"tensor(0.2202, device='cuda:0')",85.36666666666667,"tensor(0.3407, device='cuda:0')"
359,90.99157022431777,"tensor(0.2219, device='cuda:0')",85.55,"tensor(0.3466, device='cuda:0')"
360,91.34162023146163,"tensor(0.2203, device='cuda:0')",85.08333333333333,"tensor(0.3466, device='cuda:0')"
